M,N,perFactorN,K,c,rho,mode,nonLoaderFrac,retention,R,rec85,rec90,rec95,rec90_lo,rec90_hi,meanEstK
40,18,6,3,0.4,0,free,0,oracle,500,0.422,0.006,0.000,0.002,0.017,3.00
40,18,6,3,0.4,0,free,0,pa,500,0.370,0.006,0.000,0.002,0.017,2.89
40,18,6,3,0.4,0.4,free,0,oracle,500,0.398,0.004,0.000,0.001,0.014,3.00
40,18,6,3,0.4,0.4,free,0,pa,500,0.166,0.002,0.000,0.000,0.011,2.31
40,18,6,3,0.6,0,free,0,oracle,500,1.000,0.946,0.004,0.923,0.963,3.00
40,18,6,3,0.6,0,free,0,pa,500,0.996,0.954,0.004,0.932,0.969,3.00
40,18,6,3,0.6,0.4,free,0,oracle,500,1.000,0.958,0.010,0.937,0.972,3.00
40,18,6,3,0.6,0.4,free,0,pa,500,0.690,0.662,0.006,0.619,0.702,2.67
40,18,6,3,0.8,0,free,0,oracle,500,1.000,1.000,0.990,0.992,1.000,3.00
40,18,6,3,0.8,0,free,0,pa,500,0.996,0.996,0.984,0.986,0.999,3.00
40,18,6,3,0.8,0.4,free,0,oracle,500,1.000,1.000,0.986,0.992,1.000,3.00
40,18,6,3,0.8,0.4,free,0,pa,500,0.862,0.862,0.854,0.829,0.889,2.86
40,23,6,3,0.4,0,forced,0.2,oracle,500,0.396,0.006,0.000,0.002,0.017,3.00
40,23,6,3,0.4,0,forced,0.2,pa,500,0.352,0.010,0.000,0.004,0.023,2.90
40,23,6,3,0.4,0.4,forced,0.2,oracle,500,0.298,0.000,0.000,0.000,0.008,3.00
40,23,6,3,0.4,0.4,forced,0.2,pa,500,0.124,0.004,0.000,0.001,0.014,2.15
40,23,6,3,0.6,0,forced,0.2,oracle,500,1.000,0.978,0.012,0.961,0.988,3.00
40,23,6,3,0.6,0,forced,0.2,pa,500,0.980,0.946,0.018,0.923,0.963,2.98
40,23,6,3,0.6,0.4,forced,0.2,oracle,500,0.958,0.916,0.012,0.888,0.937,3.00
40,23,6,3,0.6,0.4,forced,0.2,pa,500,0.630,0.610,0.012,0.567,0.652,2.59
